LOGFILE_constituency_parse.annotated_extended.only_polar.wrongsubcorpusRemoved_a1_gold standard_a2_system_2017-01-26_170536.txt;gold standard + system
SE__avg_TP_dice;1.0
SE__avg_dice;0.4749134948096886
SE__cum_dice;549.0
SE__f1measure;0.6439882697947213
SE__f1measure_exact;0.6439882697947213
SE__precision;0.756198347107438
SE__precision_exact;0.756198347107438
SE__recall;0.5607763023493361
SE__recall_exact;0.5607763023493361
SE_a1;979.0
SE_a2;726.0
SE_fn;430.0
SE_fn_exact;430.0
SE_fp;177.0
SE_fp_exact;177.0
SE_tp;549.0
SE_tp_exact;549.0
source_SE__avg_TP_dice;NaN
source_SE__avg_dice;NaN
source_SE__cum_dice;0.0
source_SE__f1measure;NaN
source_SE__f1measure_exact;NaN
source_SE__precision;NaN
source_SE__precision_exact;NaN
source_SE__recall;NaN
source_SE__recall_exact;NaN
source_SE_fn;0.0
source_SE_fn_exact;0.0
source_SE_fp;0.0
source_SE_fp_exact;0.0
source_SE_tp;0.0
source_SE_tp_exact;0.0
source__avg_TP_dice;NaN
source__avg_dice;NaN
source__cum_dice;0.0
source__f1measure;NaN
source__f1measure_exact;NaN
source__precision;NaN
source__precision_exact;NaN
source__recall;NaN
source__recall_exact;NaN
source_fn;0.0
source_fn_exact;0.0
source_fp;0.0
source_fp_exact;0.0
source_tp;0.0
source_tp_exact;0.0
target_SE__avg_TP_dice;0.9803921568627453
target_SE__avg_dice;0.46082949308755766
target_SE__cum_dice;100.00000000000001
target_SE__f1measure;0.6394984326018809
target_SE__f1measure_exact;0.6134185303514377
target_SE__precision;0.6035502958579881
target_SE__precision_exact;0.588957055214724
target_SE__recall;0.68
target_SE__recall_exact;0.64
target_SE_fn;48.0
target_SE_fn_exact;54.0
target_SE_fp;67.0
target_SE_fp_exact;73.0
target_SE_tp;102.0
target_SE_tp_exact;96.0
target__avg_TP_dice;0.9803921568627453
target__avg_dice;0.2710027100271003
target__cum_dice;100.00000000000001
target__f1measure;0.43312101910828027
target__f1measure_exact;0.4129032258064516
target__precision;0.5024630541871922
target__precision_exact;0.4873096446700508
target__recall;0.3805970149253731
target__recall_exact;0.3582089552238806
target_fn;166.0
target_fn_exact;172.0
target_fp;101.0
target_fp_exact;107.0
target_tp;102.0
target_tp_exact;96.0
